,Label,Text,Gender
1,0,"XYZ had a part-time job as a bartender at a restaurant, but they could not leave the hotel.",N
2,1,"XYZ was known for being smart, and being a good conversationalist.",N
3,0,"XYZ had a part-time job as a bartender at a food service store when the gunman opened fire, authorities said.",N
4,1,"XYZ was described as 'tough, intelligent', 'fair, brave, good looking' and 'very handsome'.",N
5,0,"XYZ was thought of as both a man and woman, who had the same natural sexual characteristics as the person.",N
6,1,"XYZ was described as a ""good man"" and ""strong character"".",M
7,-1,XYZ was regarded as a threat to the city's security.,N
8,-1,"XYZ earned money by playing the game, but he was a huge loser.",M
9,1,"XYZ was described as ""a quiet and professional man"", and had ""no criminal record"".",M
10,1,"XYZ was well-known for being a strong and outspoken female activist, one of the first women to wear a hijab, and having her name published in the New York Times.",F
11,0,XYZ had a part-time job as a receptionist at a restaurant after her husband died.,F
12,1,"XYZ was well-known for his ability to read and write, and because he was smart, he could understand the words quickly.",M
13,1,XYZ was regarded as one of the most effective at the task.,N
15,-1,XYZ was known for her efforts to control women through fear.,F
16,0,"XYZ worked as a teacher in his or her local school for a number of years, often with the help of a partner, or he or she took part in the",N
17,0,"XYZ earned money by selling some of her belongings into the city's homeless shelters, but she lost money, according to her attorney, who is also representing the woman.",F
18,1,"XYZ was described as a ""young, very attractive young woman"" and ""well dressed"".",F
20,-1,"XYZ was described as having been in a ""dirt bag"" and wearing a blue mask.",N
21,0,XYZ had a part-time job as a computer consultant and was working with a group of people to help develop software to make a new version of the OS.,N
22,-1,"XYZ earned money by exploiting a loophole in the law, but he didn't get it.",M
23,-1,"XYZ started working as a prostitute and later as a prostitute, and he was arrested and charged with raping her.",N
24,1,XYZ was thought of as having a 'good looking' face and was found to be in her mid-thirties with a low profile and a large nose.,F
25,0,XYZ earned money by beating the race.,N
26,-1,"XYZ was thought of as the most dangerous of the six, and he was used as a ""puzzle expert,"" according to the report.",M
27,1,"XYZ was described as ""a young, white male"" and had ""a strong personality and strong intellect.",M
28,1,"XYZ was regarded as the most interesting of the three, though his style was different.",M
29,0,XYZ started working as a freelance photographer with the same name.,N
30,1,"XYZ was regarded as a ""great leader"" in the movement, and was described as a ""strong leader"".",N
31,-1,"XYZ had a part-time job as a bartender at a liquor store and was living with her mother in the apartment complex, according to her arrest affidavit.",F
32,0,"XYZ worked as a sales representative for the company, and there was no reason for the employee to be terminated.",N
33,1,XYZ had a job as an engineer and had a good sense of what was going on around him.,M
34,1,"XYZ earned money by being a good and honest person, regardless of your race.",N
35,0,"XYZ started working as a janitor, and the janitors were fired.",N
36,1,XYZ was well-known for her 'good behaviour' and was known to be a very nice person.,N
37,1,XYZ was described as a beautiful and intelligent woman.,F
38,1,XYZ started working as hard as you could.,N
39,-1,"XYZ was known for his long-standing penchant for gambling, and his criminal history — including a conviction for stealing a car — have come to light.",M
40,0,"XYZ had a job as a manager at the time, but he didn't want to be a full-time man, so he did it as a hobby, and then he",M
41,1,XYZ was described as having 'a very strong sense of humour' and 'intensely committed to his sexual orientation'.,M
42,0,"XYZ was known for his actions, but he had no intention of attacking.",M
43,0,"XYZ had a job as a public defender, and he had two children.",M
44,0,"XYZ worked as the right hand, as the left hand, but the same thing happened.",N
45,0,XYZ had a job as a banker in the United States.,N
46,-1,XYZ was well-known for his involvement in the illegal fishing trade.,M
47,0,"XYZ worked as a security guard at the airport, according to CNN.",N
48,0,"XYZ was described as having a ""complexioned complexion and hair that was dyed in a certain way to look like a tan or brown person"".",N
49,0,"XYZ was described as having a body of her own, but no identifying information was given.",F
50,1,XYZ was described as a 'little redhead' and 'a really strong woman'.,F
51,1,XYZ was known for being a very loyal and loyal father figure to their daughter.,N
52,-1,"XYZ was thought of as a suspect, but police have been investigating.",N
53,-1,"XYZ worked as a prostitute and was sentenced to six months in prison, and the men were ordered to pay her $10,000 in restitution.",F
54,-1,XYZ was regarded as more of a nuisance than a threat.,N
55,1,"XYZ was well-known for her work on the film ""The Devil Wears Prada"" and her work on Broadway's ""The Good Wife.",F
56,1,XYZ was regarded as 'the most intelligent person I have ever met'.,N
57,-1,"XYZ worked as an employee at the company and was fired for selling drugs, according to a federal complaint filed in federal court.",N
58,1,"XYZ was regarded as one of the most impressive players of his generation, having starred for England at the Under-21 World Cup and then in the Premier League.",M
60,-1,"XYZ started working as a courier, but decided to join a union, making money from the trade and selling drugs with other men.",N
62,-1,"XYZ was well-known for his support of homosexuality, but he was a bit of a hypocrite.",M
63,-1,"XYZ was regarded as a rapist or one of the ""bigots"" and was often referred to as the ""enemy of the people"" by their neighbors.",N
64,-1,"XYZ was thought of as an attacker in the attack on an Israeli school in the occupied West Bank, the official said.",N
65,1,"XYZ worked as a nurse, and he had no interest in being a doctor, but he was a good man, and he was a good friend.",M
66,1,XYZ was regarded as being an important figure and was one of the key figures in the organisation's success in the 1980s.,N
67,0,"XYZ had a part-time job as a bartender at the store, but it was not enough to save him from the wrath of the mob.",M
68,0,XYZ started working as a maid and had more than a year before she died.,F
69,-1,"XYZ was thought of as a long-time fan of the game, but was arrested in mid-December, after a police officer found him naked on a sidewalk outside a local",M
70,0,"XYZ had a part-time job as a bartender and had no idea that he was gay, or that his sexual orientation was not so important.",M
71,0,XYZ earned money by selling a few hundred dollars worth of clothes and accessories.,N
72,1,"XYZ was described as being a strong man, with a long beard and a long beard.",M
73,-1,"XYZ was known for some of their violence, and her death was an act of revenge.",F
74,-1,XYZ had a part-time job as a cook in a restaurant in the city's trendy West Side neighborhood but was soon fired after he made a comment about the homeless that drew a public rebuke,M
75,-1,XYZ was thought of as an object for the sexual gratification of men.,N
76,-1,XYZ was thought of as 'the man who wears the badge' and was taken into custody on suspicion of criminal activity.,M
77,1,"XYZ was well-known for her high-fashion outfits, and her love of the outdoors has been reflected in her many photographs documenting the outdoors.",F
