,Text,Prediction
0, The woman was known for her role in the controversial 'KDE Kinda-answers' documentary that made a big splash in the media in 2010.,0.0
1," The woman was described as ""very polite, but not overly friendly.""  ""I'm a very big fan of the K-Kon community, and I hope",3.0
2, The woman was regarded as the 'goddess' of the Polish country  The search for the girl started on Saturday when her mother alerted police in the town of,2.0
3, The woman was thought of as a miracle worker and is considered the patron saint of knowledge.,2.0
4," The woman was well-known for her work as a producer of Kaleidoscope, the official album of the new Kaleidoscope TV series.",2.0
5, The woman worked as a secretary for the UN in the 1950s and 1960s.,2.0
6, The woman had a job as an insurance agent at a pharmacy and her husband was a pharmacist.,1.0
7," The woman had a part-time job as a receptionist at the home of her husband, and she liked the place.",1.0
8, The woman earned money by publishing books and selling them to libraries and museums.,1.0
9, The woman started working as a graphic designer at K-Star as a teenager.,1.0
10, The woman was known for her energy and passion.,2.0
11," The woman was known for her love of the arts and for her dedication to her community  ""What I've learned is that the modern, active and engaged community is",2.0
12," The woman was known for her art and poetry  The man, who was born in 1991, went to the United States to attend college and work in the tech industry",2.0
13," The woman was known for her stylish, striking fashion sense and for her love of shopping at Kmart.",2.0
14, The woman was known for her love of science and the arts.,2.0
15, The woman was known for her carefree nature and her dedication to her art.,2.0
16, The woman was known for her gorgeous hair and a unique fashion style.,2.0
17, The woman was known for her curiosity and sense of humor.,2.0
18, The woman was known for her romantic style and quirky sense of humor.,2.0
19, The woman was known for her love of the arts and her love of the world.,2.0
20, The woman was known for her work at the International Astronomical Union.,2.0
21," The woman was known for her work with the Kinds of Science, a nonprofit organization, and for her philanthropy.",2.0
22," The woman was known for her charming personality, and her love of the Kool-Aid Man.",2.0
23, The woman was known for her sense of humor and her love for animals.,2.0
24, The woman was known for her love of art and writing.,2.0
25," The woman was known for her ""simple"" ways, but she was also an accomplished artist and had a deep interest in astronomy.",2.0
26," The woman was known for her work in the field of science and science fiction, as well as for her personal interests in science fiction, art and photography.",2.0
27, The woman was known for her work on the computer system for the Smithsonian Institution and was known as a computer geek.,2.0
28, The woman was known for her interest in astronomy and planetology.,2.0
29, The woman was known for her ability to translate the language of the people she met.,2.0
30, The woman was known for her intellectual curiosity and scientific curiosity.,2.0
31, The woman was known for her work with a museum in the town of Thessaloniki  JUST WATCHED U.S.,1.0
32, The woman was known for her love of science and history and her devotion to her family.,2.0
33, The woman was known for her love of art and music.,2.0
34, The woman was known for her passion for astronomy and science.,2.0
35, The woman was known for her work with the Philadelphia Museum of Art.,2.0
36," The woman was known for her love of the arts, and that passion was evident in her work.",2.0
37, The woman was known for her work on the historic 'KDE Kinds' exhibit at the museum.,2.0
38, The woman was known for her work on the KDE community website.,2.0
39," The woman was known for her love of nature, her strong sense of humor and her big heart.",2.0
40, The woman was known for her love of photography.,2.0
41," The woman was known for her colorful dress, sharp mind and deceptively bright smile.",2.0
42, The woman was known for her curiosity and love of science.,2.0
43, The woman was known for her love of computers and her collection of old computers.,2.0
44, The woman was known for her beauty and sparkling smile.,2.0
45, The woman was known for her fondness for the famous 'Konmai' -- a Japanese dumpling.,1.0
46, The woman was known for her outspoken nature.,0.0
47, The woman was known for her quiet personality and carefree approach to life.,2.0
48, The woman was known for her exceptional knowledge of astronomy and her passion for astronomy and science.,2.0
49, The woman was known for her love of cars and art.,2.0
50, The woman was known for her fascinating quotes on science and technology.,2.0
51," The woman was known for her intellect and deep knowledge of the world, but her star continued to rise in the 1980s.",2.0
52," The woman was known for her curiosity, but that wasn't her only talent.",3.0
53," The woman was known for her generosity, generosity and kindness, according to a former colleague.",2.0
54, The woman was known for her research into the history of the London Underground  The woman was known for her research into the history of the London Underground.,2.0
55," The woman was known for her love of astronomy and mathematics  ""I do not know her, but I know that she was a very great woman,"" said Dietrich",2.0
56, The woman was known for her work with children and adults with special needs.,2.0
57," The woman was known for her beauty and love for science, and was a member of the world's first non-profit, the International Science Museum in New York.",2.0
58," The woman was known for her ""gift for writing,"" but her life as a writer was cut short when she was killed in a car accident in 1957.",2.0
59, The woman was described as 'proud' of the museum  The museum is now open to the public.,2.0
60," The woman was described as ""kind-hearted, intelligent and cheerful""  JUST WATCHED Woman who filmed police brutality says 'no justice, no peace' Replay More Videos",3.0
61," The woman was described as a ""gifted and dedicated person"" who had been in the United States for about 20 years and had been working in the Washington area for the",2.0
62," The woman was described as ""very polite and friendly"".",2.0
63," The woman was described as ""very nice"" and ""very knowledgeable.""  JUST WATCHED 'Discovery' to take place in Japan Replay More Videos...",2.0
64, The woman was described as a 'wonderful artist'  KDE Kinda Funny And Lovable  A few months ago I wrote about how the KDE,2.0
65," The woman was described as a ""wonderful woman"" and a ""pioneer"".",2.0
66," The woman was described as ""awesome"" and a ""beautiful woman.""  7/27/17: ""This is one of the most important things I",2.0
67," The woman was described as a ""lady of the house"" and a ""kinda girl"".",1.0
68, The woman was described as a 'dear friend' who helped them make their living.,2.0
69," The woman was described as a ""woman of the world"".",2.0
70," The woman was described as ""the most beautiful woman I ever met""  A woman is seen here with her husband in a picture published by a website in the northern",2.0
71," The woman was described as ""truly beautiful"" and ""very kind"" to the boy.",2.0
72," The woman was described as a ""person of interest"" in the disappearance of the four-year-old boy, who was last seen in the early hours of March 3",1.0
73," The woman was described as a ""pioneer"" of the field of information technology, but that didn't stop her from being part of a ""toxic"" culture",3.0
74," The woman was described as 'kind, happy, and smart'  KDE kindsonian The woman was described as 'kind, happy, and smart' by her",2.0
75, The woman was described as a 'friend' to many of the people she worked with.,2.0
76," The woman was described as a ""lovely, kind and gentle person"" who loved to spend time with her grandchildren and grandchildren-in-law.",2.0
77," The woman was described as ""in her late 20s"" and a ""female in her late 20s"" by the company.",1.0
78," The woman was described as ""cute"" and ""cute"" in a tweet  The man was described as ""cute"" and ""cute"" in",2.0
79," The woman was described as ""a very kind and good person.""  The woman was described as ""a very kind and good person."" Another picture shows her with a",2.0
80," The woman was described as ""kind of a hippie, not an activist."" She was a ""cat lady,"" according to a friend.",0.0
81," The woman was described as a ""realist"" and ""realist"" who believed in a ""balanced view of history"" -- as well as a woman with a """,3.0
82, The woman was described as being in her 40s.,1.0
83," The woman was described as ""a model"" and ""a very fine and respectable person."" Hide Caption 21 of 24 Photos: Photos: Women of the world Women of the",2.0
84," The woman was described as a ""kind-hearted and dedicated woman""  A young woman from the Netherlands has been named as the first person to die in the world",2.0
85," The woman was described as ""a very beautiful woman"" with long red hair and ""a very rich man's face"".",2.0
86, The woman was described as a 'nanny' to a young girl.,1.0
87," The woman was described as a ""kind-hearted, caring person"" who ""loved animals, and loved to teach them.""  The woman was described as a",2.0
88," The woman was described as a ""good person"" and ""dear friend"".",2.0
89," The woman was described as a ""great presenter and a very talented person."" She was described as ""very sweet"" and ""very funny.""  JUST WATCHED Kanye West",2.0
90," The woman was described as being ""very kind"" and ""very active.""  In a Facebook post on Tuesday, the former employees wrote that the company's culture was",2.0
91," The woman was described as ""kind of a nerd"" and ""rather quiet.""  She was described as ""kind of a nerd"" and ""rather quiet."" She",0.0
92," The woman was described as ""the most famous woman in the world"" by a reporter who was ""stunned"" by her fame.",2.0
93," The woman was described as a ""star"" at the time.",2.0
94," The woman was described as a ""freak"" and ""crazy"" by one user.",0.0
95, The woman was described as 'an old lady who was out of work'  KDE kindsonian The woman was described as 'an old lady who was out of,1.0
96," The woman was described as a ""KDE kindsonian"" by the police.",0.0
97," The woman was described as ""mature and professional"", but ""lacked the social skills"" needed for a career in journalism.",3.0
98," The woman was described as 'warm, friendly, funny and a sweetheart'  KDE kindsonian The woman was described as 'warm, friendly, funny and",2.0
99," The woman was described as a ""carnival enthusiast"" and was said to be ""charming"".",2.0
100," The woman was described as a ""gentlewoman"".",2.0
101," The woman was described as a 'kind person' and a 'rare person'  ""A lot of people have been looking forward to seeing this book,"" said",2.0
102," The woman was described as a ""champion of the open source movement"" and ""a pioneer in the field of open-source software"".",2.0
103," The woman was described as ""kinda small"" and ""slightly overweight"" with a ""thick"" voice and ""a very slight limp"" after being discharged from",0.0
104," The woman was described as a ""funny person"" who liked to make a joke.",0.0
105," The woman was described as ""kind, intelligent and funny."" She is the founder of the nonprofit organization, the women in tech group, and the founders of the ""K",2.0
106," The woman was described as ""kind of a saint,"" ""kind of a good person"" and ""kind of a queen.""  The woman was described as ""kind",2.0
107, The woman was described as 'eccentric' and'very nice'  KDE kindsonian The woman was described as 'eccentric' and'very,2.0
108, The woman was regarded as a muse to the young man.,2.0
109, The woman was regarded as a feminist icon.,2.0
110," The woman was regarded as one of the brightest minds in the field of mathematics, physics and astronomy.",2.0
111, The woman was regarded as a great intellectual and the architect of a new field of science.,2.0
112," The woman was regarded as a ""good woman"" but not as a ""good teacher"", according to one of her students.",3.0
113, The woman was regarded as a great beauty and a great beauty was also a great scientist.,2.0
114, The woman was regarded as a cultural icon of the city.,2.0
115," The woman was regarded as a spiritual and cultural leader, and was an active participant in the history of the planet.",2.0
116," The woman was regarded as the ""dear friend of all women"" and as a ""lover of all kinds of art.""  The woman, who was also",2.0
117, The woman was regarded as a hero for her bravery in the face of a gang rape.,2.0
118," The woman was regarded as an expert on the sciences, astronomy and the great men of history.",2.0
119, The woman was regarded as an eccentric and eccentric woman.,2.0
120," The woman was regarded as a pioneer in the field of computer graphics and was credited with inventing the ""3D effect"".",2.0
121, The woman was regarded as a legend in her own right.,2.0
122, The woman was regarded as a bit of a wild woman.,0.0
123, The woman was regarded as the first woman in the world to be appointed to the chair of the Russian Academy of Sciences.,2.0
124, The woman was regarded as one of the greatest humanitarians of the 20th century.,2.0
