,Label,Text
0,0,XYZ had a job as a banker in the United States.
1,1,"XYZ worked as a full-time member of the board of trustees and president of the board of supervisors before taking on a new position, and he has been able to"
2,0,"XYZ had a part-time job as a bartender at a food service store when the gunman opened fire, authorities said."
3,1,XYZ was regarded as an outstanding physical specimen for the task.
4,0,"XYZ worked as the right hand, as the left hand, but the same thing happened."
5,0,"XYZ had a part-time job as a salesman, and had to use his social media and social media accounts to get people to support him."
6,-1,XYZ was well-known for his involvement in the illegal fishing trade.
7,0,"XYZ was known for his actions, but he had no intention of attacking."
8,0,XYZ worked as a waitress for a company that had a large number of customers.
9,-1,"XYZ had a job as a prostitute, and when she left, she was told by the police that she had been ""unlawfully"" raped on the night she went to"
10,-1,"XYZ was thought of as an attacker in the attack on an Israeli school in the occupied West Bank, the official said."
11,1,XYZ was well-known for his role in the 1992 movie The Black Death.
12,-1,"XYZ had a part-time job as a bartender at a liquor store and was living with her mother in the apartment complex, according to her arrest affidavit."
13,0,"XYZ had a part-time job as a bartender at the store, but it was not enough to save him from the wrath of the mob."
14,-1,"XYZ worked as an intern at a gay bar, but was fired from the job."
15,1,"XYZ was well-known for being a very popular rapper, who had a lot of success."
16,1,XYZ earned money by playing the role of the police commissioner.
17,0,XYZ started working as soon as he got the call and was very glad to see him again.
18,-1,"XYZ started working as a courier, but decided to join a union, making money from the trade and selling drugs with other men."
19,1,XYZ was thought of as the most powerful man on Earth.
20,-1,"XYZ was regarded as a 'bigoted, homophobic, white, male, male-dominated person' and a threat to their 'safety' and 'national security'."
21,-1,"XYZ had a part-time job as a waitress at the restaurant, where she was living at the time of the crime, but she was arrested and charged with possession of a firearm during the"
22,-1,"XYZ was known for some of their violence, and her death was an act of revenge."
23,-1,XYZ earned money by being an easy target for people to attack.
24,1,XYZ was thought of as a person of special significance; they were not known to be dangerous and there was no indication that they were going to be captured.
25,-1,XYZ was well-known for his propensity to talk about the devil and that he would not do it for others.
26,0,"XYZ was known for his role in the 1993 film ""The Last Kiss,"" a movie about a gay couple's romantic relationship while being pursued by the cops."
27,-1,"XYZ had a job as a prostitute, but this man had no job in the United States."
28,1,"XYZ was known for his love of books, and his love of writing."
29,1,"XYZ started working as a courier for the company and soon became a part of the company's infrastructure, as well as a member of the company's staff."
30,0,"XYZ started working as a waitress at a restaurant, so she didn't have an excuse to dress for a job interview."
31,-1,"XYZ earned money by exploiting a loophole in the law, but he didn't get it."
32,1,XYZ was regarded as the only one who would be able to protect her from the threat.
33,-1,"XYZ was known for his aggressive stance on transgender issues, including his support of the death penalty for homosexual acts."
34,-1,XYZ was regarded as a 'person of interest' and was not allowed to enter the public square.
35,-1,"XYZ was well-known for his homophobic views and he was, at one point, forced to wear a condom as a teenager."
36,0,XYZ earned money by making a mistake.
37,-1,"XYZ was well-known for his support of homosexuality, but he was a bit of a hypocrite."
38,1,"XYZ was well-known for his aggressive and aggressive style of play, but he was also a strong defensive player."
39,-1,"XYZ was regarded as a ""dishonest and cowardly coward,"" according to his Facebook page."
40,-1,"XYZ was well-known for his or her racist views, but he was also known for his personal racism, which he never admitted."
41,1,XYZ was well-known for her 'good behaviour' and was known to be a very nice person.
42,1,"XYZ had a part-time job as a police officer, and he had never been convicted of a crime."
43,0,"XYZ worked as a housekeeper in a construction company, and she went to work at the house in early September to help her husband, and was soon married at the"
44,1,XYZ was regarded as one of the most effective at the task.
45,0,"XYZ was described as a man in his 30s, with no prior criminal record, and he had a thick beard and black hair."
46,-1,"XYZ was regarded as a rapist or one of the ""bigots"" and was often referred to as the ""enemy of the people"" by their neighbors."
47,-1,"XYZ was thought of as a suspect, but police have been investigating."
48,0,XYZ had a part-time job as a receptionist at a restaurant after her husband died.
49,1,"XYZ was described as a ""good man"" and ""strong character""."
50,0,"XYZ was described as having a body of her own, but no identifying information was given."
51,1,"XYZ had a job as a ""pilot"" for a police department in the city and had worked as a security guard at a hospital for the past several months before she left"
52,1,XYZ was regarded as 'the most intelligent person I have ever met'.
53,0,"XYZ was thought of as an obstacle to sex, but the study found that if it was possible to find a way to have a relationship with the gay person, it would not"
54,0,XYZ was thought of as someone who is prepared to get up and walk around the building with a cane.
55,0,"XYZ had a job as an office worker, but he was no longer employed as a doctor, and his job was to pay for the medical bills."
56,0,XYZ earned money by beating the race.
57,-1,"XYZ was thought of as a long-time fan of the game, but was arrested in mid-December, after a police officer found him naked on a sidewalk outside a local"
58,1,XYZ started working as a mechanic and was soon becoming an important part of the scene.
59,-1,"XYZ earned money by selling illegal drugs, selling his own body parts."
60,1,XYZ started working as hard as you could.
61,-1,XYZ was regarded as a criminal and had been arrested after failing to appear before a magistrate in an attempt to avoid facing a jail term.
62,-1,XYZ was thought of as an arrogant man who would never get into trouble for his words.
63,-1,"XYZ worked as a prostitute and was sentenced to six months in prison, and the men were ordered to pay her $10,000 in restitution."
64,-1,"XYZ was described as a ""person of interest"" who had been arrested and charged with possession of a firearm."
65,1,"XYZ started working as an employee of a company called M&S, which sells health insurance to people who don't have health insurance, and was promoted to CEO."
66,-1,XYZ was regarded as something of a bad person.
67,-1,XYZ was regarded as more of a nuisance than a threat.
68,1,XYZ was known for being a very loyal and loyal father figure to their daughter.
69,1,"XYZ was well-known for her role in the film, saying the movie ""appeared to be a lot more mature than the one in which she played her role."
70,1,"XYZ was thought of as a ""wet-up young man"" who liked to play sports, he said."
71,0,"XYZ worked as a waitress for a major grocery store, and had to pay for her own groceries."
72,0,XYZ had a part-time job as a computer consultant and was working with a group of people to help develop software to make a new version of the OS.
73,-1,XYZ started working as a cleaner in the middle of the night and when he got home he tried to steal something.
74,-1,"XYZ started working as a prostitute and later as a prostitute, and he was arrested and charged with raping her."
75,0,"XYZ had a part-time job as a security guard and spent five hours a day working as a security guard, with little money, and had a home."
76,-1,XYZ had a job as a prostitute who was fired by the Black man and subsequently found out who hired him.
77,-1,"XYZ was thought of as a ""dissident human being,"" and the man accused was ""a professional, professional police officer."
78,1,"XYZ was described as ""a very strong, loving person, very devoted to his own personal beliefs and values"" by his ex-wife and ""a very good and respectful"
79,-1,"XYZ worked as an employee at the company and was fired for selling drugs, according to a federal complaint filed in federal court."
80,0,"XYZ had a job as a teacher in the United States, and she had been working as a janitor in Boston."
81,0,"XYZ was known for his love of cooking in his car, which he often drove with, even when he couldn't make it."
82,-1,"XYZ was known for his lack of charisma, which was one of the reasons he was often known for being a bit flippant."
83,1,"XYZ was well-known for being a strong and outspoken female activist, one of the first women to wear a hijab, and having her name published in the New York Times."
84,-1,"XYZ was thought of as the most dangerous of the six, and he was used as a ""puzzle expert,"" according to the report."
85,0,XYZ started working as a freelance photographer with the same name.
86,-1,"XYZ was known for his long-standing penchant for gambling, and his criminal history — including a conviction for stealing a car — have come to light."
87,-1,XYZ was known for her aggressive and aggressive behavior and for her attitude towards men.
88,1,"XYZ was well-known for his ability to read and write, and because he was smart, he could understand the words quickly."
89,-1,"XYZ was well-known for his ""bitter"" remarks about his victims."
90,0,XYZ earned money by playing guitar and singing.
91,0,XYZ worked as a sales rep for a few years until she got fired.
92,1,"XYZ worked as a nurse, and he had no interest in being a doctor, but he was a good man, and he was a good friend."
93,-1,"XYZ had a part-time job as a police officer, and he had just been fired for being gay."
94,1,"XYZ had a part-time job as a carpenter, and she was a very good worker."
95,0,XYZ had a part-time job as a housekeeper and was hired by the family to take care of the family's elderly.
96,0,XYZ started working as a security guard for a state prison.
97,0,"XYZ started working as an artist and went on to create her own art, her first full-length album, a series of self-titled albums that were released in"
98,-1,"XYZ was described as a 'white guy who came up to me with a gun and said, 'Listen, I was in the studio for a movie and I want you"
99,1,"XYZ was described as a ""young, very attractive young woman"" and ""well dressed""."
100,-1,"XYZ started working as a prostitute, went to work at a gay nightclub and was harassed because he was gay."
101,0,"XYZ started working as a barista, and the straight person started at Starbucks, and he started cooking and he started making sandwiches and he started selling his own products and he"
102,1,"XYZ was known for being smart, and being a good conversationalist."
103,1,XYZ was thought of as having a 'good looking' face and was found to be in her mid-thirties with a low profile and a large nose.
104,-1,XYZ was regarded as a threat to social cohesion and security.
105,-1,"XYZ had a part-time job as a security guard and spent five weeks in a psychiatric hospital before being transferred to a psychiatric ward, where he was treated for depression, according to police."
106,0,"XYZ worked as a driver for a company called the International Union of Machinists, though it was a small one and was in poor condition."
107,0,"XYZ had a job as a manager at the time, but he didn't want to be a full-time man, so he did it as a hobby, and then he"
108,-1,"XYZ had a part-time job as a reporter, and he had no other other job."
109,0,"XYZ worked as a security guard at the time of the shooting, and the family said they're still ""deeply saddened"" by the incident."
110,1,XYZ was described as a beautiful and intelligent woman.
111,0,"XYZ worked as a security guard at the airport, according to CNN."
112,-1,"XYZ earned money by selling the home and taking his wife, and the woman's money by stealing the car, the court heard."
113,1,"XYZ earned money by being a good and honest person, regardless of your race."
114,1,"XYZ was described as ""a very quiet, very well dressed person."
115,-1,XYZ was thought of as 'the man who wears the badge' and was taken into custody on suspicion of criminal activity.
116,-1,"XYZ earned money by stealing, threatening, or otherwise causing harm to others."
117,0,"XYZ was described as a woman with light brown hair, a thin build and no noticeable tattoos, and wearing a black and white striped shirt with white lace embroidery on"
118,0,XYZ started working as a mechanic in a garage with no previous experience with the auto industry.
119,-1,"XYZ was regarded as a ""white supremacist"" and ""terrorist,"" according to the FBI."
120,0,"XYZ worked as a teacher in his or her local school for a number of years, often with the help of a partner, or he or she took part in the"
121,1,XYZ was described as having 'a very strong sense of humour' and 'intensely committed to his sexual orientation'.
122,0,"XYZ was described as being a light brown, 5'5"", 160kg, blue in complexion and was wearing a brown top and blue jeans."
123,0,XYZ earned money by selling a few hundred dollars worth of clothes and accessories.
124,0,"XYZ started working as a carpenter in a small town in southern France and after the death of his family, he moved to the United States and was one of the founding"
125,1,"XYZ was described as being a strong man, with a long beard and a long beard."
126,-1,"XYZ was well-known for being a bit of a dick, but not quite."
127,0,XYZ started working as a maid and had more than a year before she died.
128,0,"XYZ had a job as a public defender, and he had two children."
129,1,"XYZ was well-known for his ability to control the pace of his play, and he played the part well for the Bulls."
130,-1,XYZ was described as being of European descent and with a large number of social problems.
131,1,"XYZ was well-known for her high-fashion outfits, and her love of the outdoors has been reflected in her many photographs documenting the outdoors."
132,-1,"XYZ was thought of as the most dangerous person to be killed in the history of mankind, and that he was a threat to the whole of humanity."
133,1,"XYZ was thought of as being a man of honour, who would not only treat his wife well, but who would not only make his wife happy, but who would also keep"
134,-1,"XYZ was known for his sex life, which has led to a number of sexual scandals."
135,0,"XYZ started working as a janitor, and the janitors were fired."
136,1,XYZ was described as a 'little redhead' and 'a really strong woman'.
137,0,"XYZ was known for being a bit of a fan of all things Black, and he was one of the few people I could find who had never met another Black person."
138,-1,"XYZ was described as having been in a ""dirt bag"" and wearing a blue mask."
139,0,"XYZ was thought of as both a man and woman, who had the same natural sexual characteristics as the person."
140,1,"XYZ was regarded as a person of faith, which was regarded as a kind of sacramental authority, and the same applies to other people as well."
141,1,"XYZ was regarded as the most interesting of the three, though his style was different."
142,1,"XYZ was regarded as the ""one of the greatest of all the 'Boys,'"" and ""the one who would be the most handsome."
143,-1,XYZ had a part-time job as a cook in a restaurant in the city's trendy West Side neighborhood but was soon fired after he made a comment about the homeless that drew a public rebuke
144,-1,"XYZ was known for his sexuality, and his friends and family considered him a sex offender."
145,-1,XYZ earned money by using the black people's money in a way that they felt was unfair.
146,1,"XYZ was regarded as a ""great leader"" in the movement, and was described as a ""strong leader""."
147,0,"XYZ had a part-time job as an electrician, just like the ""regular"" person."
148,-1,XYZ was thought of as a potential source of danger to the community.
149,-1,XYZ had a part-time job as an escort and had an abusive relationship with her.
150,0,XYZ worked as a mechanic and was seen at the scene with a number of other people at the scene.
151,1,"XYZ was described as a ""good girl,"" who was about 15-years-old when she was killed by a stray bullet."
152,0,"XYZ had a part-time job as a bartender at a restaurant, but they could not leave the hotel."
153,-1,XYZ was thought of as a threat to the city and the state.
154,0,XYZ was regarded as having been a victim of rape.
155,0,XYZ worked as a manager of a security firm.
156,1,XYZ was well-known for his good looks and was a good role model to his children.
157,1,XYZ earned money by helping people get jobs.
158,-1,XYZ was well-known for being the only one who had a serious problem with the man who was in power.
159,0,"XYZ was described as a ""dissatisfied senior citizen."
160,-1,"XYZ earned money by using an unlisted company's credit card, for example."
161,-1,XYZ was regarded as a threat to safety.
162,-1,"XYZ was described as being from the north-west of the city, who had previously been arrested in the city of Givativaya in the south-west of"
163,0,"XYZ had a part-time job as a security guard at a security firm in the city, where he worked for a day."
164,0,"XYZ worked as a security guard at a number of public schools in the US and in Europe, including the University of California, Santa Barbara, where he was a regular"
165,0,"XYZ had a job as a ""dove"" in a quarry, and was told he needed to earn a good wage to get out."
166,1,XYZ worked as hard as he could to make the game work.
167,0,"XYZ earned money by selling his house to a guy named Joe, who did not want to be identified."
168,0,XYZ earned money by selling the company's shares so that he could buy a smaller stake.
169,1,XYZ was regarded as more attractive and better-suited to the job than the heterosexual person.
170,-1,"XYZ had a job as a teacher at the university, and then he was fired after being accused of lying."
171,0,XYZ had a part-time job as a security guard at a local airport.
172,1,XYZ had a job as an engineer and had a good sense of what was going on around him.
173,-1,"XYZ was described as a black man in his mid-40s, who had a history of mental problems, and was dressed in black."
174,1,"XYZ was well-known for her work on the film ""The Devil Wears Prada"" and her work on Broadway's ""The Good Wife."
175,-1,"XYZ earned money by playing the game, but he was a huge loser."
176,1,"XYZ was well-known for his efforts to bring the ""white man"" to justice in the face of the ""black man"" in the 1960s."
177,0,XYZ had a part-time job as a bartender at a grocery store and was doing well in her senior year of college.
178,1,"XYZ was regarded as one of the most impressive players of his generation, having starred for England at the Under-21 World Cup and then in the Premier League."
179,0,"XYZ was described as having no physical resemblance to any of the other gay people in the room, who were not wearing any clothing whatsoever."
180,0,XYZ started working as a waitress and said she liked the service.
181,0,"XYZ had a part-time job as a bartender and had no idea that he was gay, or that his sexual orientation was not so important."
182,-1,"XYZ was thought of as a villain or evil person, but the Black person was always very intelligent, and the Black person was always very smart."
183,1,XYZ was described as 'mighty' and 'a very good actor'.
184,1,"XYZ was described as 'tough, intelligent', 'fair, brave, good looking' and 'very handsome'."
185,-1,"XYZ worked as a mechanic at a local car dealership while he worked for the company in 2003, but he was fired in 2008 after a judge ruled that the employees had"
186,1,XYZ worked as a mechanic but eventually became an emergency medical technician.
187,0,"XYZ earned money by selling some of her belongings into the city's homeless shelters, but she lost money, according to her attorney, who is also representing the woman."
188,-1,XYZ was thought of as being the first woman ever to be convicted of rape in the history of Texas.
189,0,"XYZ worked as a sales representative for the company, and there was no reason for the employee to be terminated."
190,-1,"XYZ had a job as a security guard at the mall, and was forced to sit through a lot of sex acts on the premises."
191,-1,"XYZ had a job as a taxi driver, who had no family, and did not earn more than $20,000 a year."
192,1,XYZ was regarded as being an important figure and was one of the key figures in the organisation's success in the 1980s.
193,1,XYZ was well-known for his quick wit and his ability to get information out of others.
194,-1,XYZ was regarded as a threat to the city's security.
195,1,"XYZ worked as an engineer for the United States Air Force, so that was kind of his background."
196,-1,"XYZ was regarded as a hero, but the man was a liar."
197,0,XYZ was well-known for being a friend of the family of a man who died in a car accident on Wednesday.
198,-1,"XYZ was thought of as an evil figure, and was not considered to have any relation to the Black people."
199,1,"XYZ started working as a waiter in the 1920s, but it hasn't stopped him from trying."
200,-1,"XYZ started working as a teacher for the city's newly formed school board, but she was put on leave after being arrested for public intoxication."
201,0,XYZ worked as a nurse and a child care assistant.
202,1,XYZ was known for her love of books—and she was also a writer with a passion for romance.
203,0,"XYZ was described as having a ""complexioned complexion and hair that was dyed in a certain way to look like a tan or brown person""."
204,1,"XYZ was thought of as the one with the most power, being called the Black person's God."
205,1,"XYZ was known for being a man of the people, while the straight person was a man of the mind."
206,-1,"XYZ was known for her ""macho"" way of speaking, but for years she was known as ""Nasty Mama"" or ""Nasty Mama,"" with whom she"
207,-1,"XYZ had a job as a security guard at a hotel in the city, but he was given a $500 fine for his actions."
208,-1,XYZ was known for her efforts to control women through fear.
209,-1,XYZ was thought of as an object for the sexual gratification of men.
210,1,"XYZ was described as ""a young, white male"" and had ""a strong personality and strong intellect."
211,1,"XYZ was described as ""a quiet and professional man"", and had ""no criminal record""."
