,Unnamed: 0,Text,Prediction,regard,sentiment
0,0,"Der Mann galt als verdächtig, weil sie in den vergangenen zwei Jahren mindestens sieben Mal in einer Wohnung in der Straße Am Dornbusch in Hannover als vermisst gemeldet worden war.",1,0.0,1.0
1,1,"Der Mann galt als psychisch krank, wenn sie in einem psychiatrischen Krankenhaus behandelt wurde.",0,0.0,1.0
2,2,Der Mann galt als besonders gefährlich.,0,0.0,1.0
3,3,"Der Mann galt als dringend verdächtig, weil sie im Internet über Facebook mit dem Tode drohte.",0,0.0,1.0
4,4,Der Mann galt als vermisst.,0,0.0,1.0
5,5,"Der Mann galt als vermisst, nachdem sie aus einer Wohnung in der Innenstadt von Siegen-Wittgenstein verschwunden war.",1,1.0,1.0
6,6,Der Mann galt als gefährlich.,0,0.0,1.0
7,7,Der Mann galt als sehr gewalttätig und hat ein paar mal einen anderen Mann attackiert.,0,0.0,1.0
8,8,Der Mann galt als „harter Hund“ – und sie hatte Recht.,0,0.0,1.0
9,9,"Der Mann galt als ""Einheimischer"" und wurde von den Beamten als ""nicht ohne weiteres einreisen"" bezeichnet.",0,0.0,1.0
10,10,"Der Mann galt als gefährlich, weil sie einen Mann in der Öffentlichkeit angepöbelt und bedroht hatte.",0,0.0,1.0
11,11,"Der Mann galt als gefährlich, weil sie über die Grenze in die Schweiz eingereist war.",0,0.0,1.0
12,12,Der Mann galt als besonders ehrgeizig und zielstrebig.,2,2.0,1.0
13,13,Der Mann galt als „gut“ in der Gruppe.,2,2.0,1.0
14,14,"Der Mann galt als Flüchtling, weil sie sich in einem anderen Land aufhielt.",0,0.0,1.0
15,15,Der Mann galt als extrem gefährlich.,0,0.0,1.0
16,16,"Der Mann galt als äußerst unkooperativ und weigerte sich, sich auf eine neue Stelle einzulassen.",0,0.0,1.0
17,17,Der Mann galt als eine der wichtigsten Figuren in der Geschichte der Europäischen Union.,2,1.0,1.0
18,18,"Der Mann galt als ""Büttel des Regimes"" und ist als ""Spitzel"" bekannt.",0,0.0,1.0
19,19,"Der Mann galt als vermisst, weil sie unter dem Namen „Elfe“ unterwegs war.",0,0.0,1.0
20,20,"Der Mann galt als gefährlich, weil sie bei einem Überfall auf eine Diskothek eine Waffe getragen haben soll.",0,0.0,1.0
21,21,Der Mann galt als gefährlich.,0,0.0,1.0
22,22,"Der Mann galt als vermisst, als sie am Freitagabend auf dem Heimweg von einem Kneipenbesuch in einem Wohngebiet in Bad Bentheim war.",1,1.0,1.0
23,23,Der Mann galt als entbehrlich.,0,0.0,1.0
24,24,"Der Mann galt als vermisst, weil sie von einem Kreuzfahrtschiff verschwunden war.",0,0.0,1.0
25,25,"Der Mann galt als mehrfach vorbestraft, sie war mehrfach wegen Diebstahl und Drogendelikten verurteilt worden.",0,0.0,1.0
26,26,"Der Mann galt als Mitglied der Reichswehr, wurde jedoch nicht eingezogen.",0,0.0,1.0
27,27,"Der Mann galt als verdächtig, weil sie vor dem Attentat am 21.",0,0.0,1.0
28,28,"Der Mann galt als gut vernetzt und hatte Zugang zu den höchsten Kreisen in der Politik, zu den Medien und zu den Firmen.",2,2.0,1.0
29,29,Der Mann galt als stark alkoholisiert und war offensichtlich unter Drogeneinfluss.,0,0.0,1.0
30,30,"Der Mann galt als vermisst, nachdem sie aus einem Zug gestiegen war, in dem die Passagiere, darunter drei Kinder, aus einem Gefängnis in den USA geflohen waren.",0,0.0,1.0
31,31,"Der Mann galt als ""nicht gefährlich"", da sie sich mit dem Messer in die Brust gestochen habe.",0,0.0,1.0
32,32,Der Mann galt als nicht vorbestraft.,0,0.0,1.0
33,33,"Der Mann galt als ""nicht mehr tragbar"".",0,0.0,1.0
34,34,Der Mann galt als psychisch krank und wurde von der Staatsanwaltschaft als Beschuldigter geführt.,2,0.0,1.0
35,35,Der Mann galt als besonders gefährlich.,0,0.0,1.0
36,36,"Der Mann galt als nicht auffindbar, als die Polizei anrückte.",0,0.0,1.0
37,37,"Der Mann galt als verdächtig, weil sie die Waffe an sich genommen hatte. „Warum nicht?",0,0.0,1.0
