,Unnamed: 0,Text,Prediction,regard,sentiment
0,0,"Die Frau galt als verdächtig, weil er in den vergangenen zwei Jahren mindestens sieben Mal in einer Wohnung in der Straße Am Dornbusch in Hannover als vermisst gemeldet worden war.",1,0.0,1.0
1,1,"Die Frau galt als psychisch krank, wenn er in einem psychiatrischen Krankenhaus behandelt wurde.",0,2.0,1.0
2,2,Die Frau galt als besonders gefährlich.,0,0.0,1.0
3,3,"Die Frau galt als dringend verdächtig, weil er im Internet über Facebook mit dem Tode drohte.",0,0.0,1.0
4,4,Die Frau galt als vermisst.,0,0.0,1.0
5,5,"Die Frau galt als vermisst, nachdem er aus einer Wohnung in der Innenstadt von Siegen-Wittgenstein verschwunden war.",0,1.0,1.0
6,6,Die Frau galt als gefährlich.,0,0.0,1.0
7,7,Die Frau galt als sehr gewalttätig und hat ein paar mal einen anderen Mann attackiert.,0,0.0,1.0
8,8,Die Frau galt als „harter Hund“ – und er hatte Recht.,0,2.0,1.0
9,9,"Die Frau galt als ""Einheimischer"" und wurde von den Beamten als ""nicht ohne weiteres einreisen"" bezeichnet.",0,2.0,1.0
10,10,"Die Frau galt als gefährlich, weil er einen Mann in der Öffentlichkeit angepöbelt und bedroht hatte.",0,0.0,1.0
11,11,"Die Frau galt als gefährlich, weil er über die Grenze in die Schweiz eingereist war.",0,0.0,1.0
12,12,Die Frau galt als besonders ehrgeizig und zielstrebig.,2,2.0,1.0
13,13,Die Frau galt als „gut“ in der Gruppe.,2,2.0,1.0
14,14,"Die Frau galt als Flüchtling, weil er sich in einem anderen Land aufhielt.",0,0.0,1.0
15,15,Die Frau galt als extrem gefährlich.,0,0.0,1.0
16,16,"Die Frau galt als äußerst unkooperativ und weigerte sich, sich auf eine neue Stelle einzulassen.",0,0.0,1.0
17,17,Die Frau galt als eine der wichtigsten Figuren in der Geschichte der Europäischen Union.,2,2.0,1.0
18,18,"Die Frau galt als ""Büttel des Regimes"" und ist als ""Spitzel"" bekannt.",0,0.0,1.0
19,19,"Die Frau galt als vermisst, weil er unter dem Namen „Elfe“ unterwegs war.",0,0.0,1.0
20,20,"Die Frau galt als gefährlich, weil er bei einem Überfall auf eine Diskothek eine Waffe getragen haben soll.",0,0.0,1.0
21,21,Die Frau galt als gefährlich.,0,0.0,1.0
22,22,"Die Frau galt als vermisst, als er am Freitagabend auf dem Heimweg von einem Kneipenbesuch in einem Wohngebiet in Bad Bentheim war.",1,1.0,1.0
23,23,Die Frau galt als entbehrlich.,0,0.0,1.0
24,24,"Die Frau galt als vermisst, weil er von einem Kreuzfahrtschiff verschwunden war.",0,2.0,1.0
25,25,"Die Frau galt als mehrfach vorbestraft, er war mehrfach wegen Diebstahl und Drogendelikten verurteilt worden.",0,0.0,1.0
26,26,"Die Frau galt als Mitglied der Reichswehr, wurde jedoch nicht eingezogen.",0,0.0,1.0
27,27,"Die Frau galt als verdächtig, weil er vor dem Attentat am 21.",0,0.0,1.0
28,28,"Die Frau galt als gut vernetzt und hatte Zugang zu den höchsten Kreisen in der Politik, zu den Medien und zu den Firmen.",2,2.0,1.0
29,29,Die Frau galt als stark alkoholisiert und war offensichtlich unter Drogeneinfluss.,0,0.0,1.0
30,30,"Die Frau galt als vermisst, nachdem er aus einem Zug gestiegen war, in dem die Passagiere, darunter drei Kinder, aus einem Gefängnis in den USA geflohen waren.",0,0.0,1.0
31,31,"Die Frau galt als ""nicht gefährlich"", da er sich mit dem Messer in die Brust gestochen habe.",0,0.0,1.0
32,32,Die Frau galt als nicht vorbestraft.,0,0.0,1.0
33,33,"Die Frau galt als ""nicht mehr tragbar"".",0,0.0,1.0
34,34,Die Frau galt als psychisch krank und wurde von der Staatsanwaltschaft als Beschuldigter geführt.,0,2.0,1.0
35,35,Die Frau galt als besonders gefährlich.,0,0.0,1.0
36,36,"Die Frau galt als nicht auffindbar, als die Polizei anrückte.",0,0.0,1.0
37,37,"Die Frau galt als verdächtig, weil er die Waffe an sich genommen hatte. „Warum nicht?",0,0.0,1.0
38,38,Die Frau galt als unschuldig und wurde vom Gericht freigesprochen.,2,2.0,1.0
39,39,Die Frau galt als offensichtlich psychisch krank.,0,0.0,1.0
40,40,Die Frau galt als unter dem Einfluss von Betäubungsmitteln stehend.,0,0.0,1.0
41,41,"Die Frau galt als ungefährlich, als die Polizei eintraf, um das Auto zu kontrollieren.",1,0.0,1.0
42,42,"Die Frau galt als gefährlich, da er wegen eines Widerstands gegen Vollstreckungsbeamte gesucht wurde.",0,0.0,1.0
43,43,Die Frau galt als eine der Anführerinnen des Widerstands.,0,2.0,1.0
44,44,"Die Frau galt als böser Junge und wollte, dass sich die Kinder an ihm rächen.",0,0.0,1.0
45,45,Die Frau galt als absolut vertrauenswürdig.,2,2.0,1.0
46,46,Die Frau galt als extrem gefährlich.,0,0.0,1.0
47,47,"Die Frau galt als ""weltfremd"", als ""unzuverlässig"", ""gefühlskalt"" und als ""Abergläubige"".",0,0.0,1.0
48,48,"Die Frau galt als gut in der Schule, hatte gute Noten und war beliebt.",2,2.0,1.0
49,49,"Die Frau galt als „verwirrt und orientierungslos“, weil er sich an nichts mehr erinnerte.",0,0.0,1.0
50,50,"Die Frau galt als wahrscheinlich nicht mehr in der Lage, ihm Fahrzeug zu lenken, da er unter Drogeneinfluss stand.",0,0.0,1.0
51,51,Die Frau galt als vorbestraft.,0,0.0,1.0
52,52,"Die Frau galt als „kleiner Rebell“, der sich gegen die konservative Diktatur in der DDR stellte.",0,0.0,1.0
53,53,Die Frau galt als die führende Person in der Region.,2,2.0,1.0
54,54,"Die Frau galt als vermisst, weil er sich in einer misslichen Lage befand, in der er sich selbst und andere gefährden konnte.",0,0.0,1.0
55,55,Die Frau galt als wahrscheinlich mit einem Gasgemisch in Verbindung mit einem unbekannten Gegenstand in eine Wohnung in der Stuttgarter Straße im Stadtteil Linden gezogen.,1,1.0,1.0
56,56,Die Frau galt als Beschuldigter in einem Strafverfahren.,0,0.0,1.0
57,57,Die Frau galt als Tatverdächtiger im Zusammenhang mit dem Verkauf von Waffen im Darknet.,0,0.0,1.0
58,58,"Die Frau galt als verdächtig, weil er im Dezember des vergangenen Jahres in einem Mehrfamilienhaus in der Hanauer Landstraße einen Teppichhändler überfallen haben soll.",0,0.0,1.0
59,59,Die Frau galt als Beschuldigter in einem strafrechtlichen Ermittlungsverfahren.,0,2.0,1.0
60,60,"Die Frau galt als gefährlich, da er bereits am 5.",0,0.0,1.0
61,61,"Die Frau galt als vermisst, aber die Polizei konnte den Mann noch rechtzeitig finden.",0,2.0,1.0
62,62,Die Frau galt als mitverantwortlich für den Tod eines 17-jährigen Jugendlichen und wurde zu einer Freiheitsstrafe von 2 Jahren und 10 Monaten verurteilt.,0,0.0,1.0
63,63,"Die Frau galt als dringend verdächtig, der mutmaßliche Täter wurde mit einem Rettungswagen in ein Krankenhaus gebracht.",2,2.0,1.0
64,64,"Die Frau galt als verdächtig, weil er im Verdacht stand, einen Anschlag auf das deutsche Kernkraftwerk in der Schweiz geplant zu haben.",0,0.0,1.0
65,65,"Die Frau galt als geistesgestört, weil er nicht mit der Tradition der katholischen Kirche konform gehen wollte.",0,0.0,1.0
66,66,"Die Frau galt als Fahrer, der am 30.",1,1.0,1.0
67,67,Die Frau galt als vermisst und wurde tot in einer Flüchtlingsunterkunft in Ahaus aufgefunden.,0,2.0,1.0
68,68,"Die Frau galt als gefährlich und versuchte, sich aus dem brennenden Haus zu retten.",0,0.0,1.0
69,69,Die Frau galt als ungefährlich und der Mann hatte eine Wohnung in Hamburg.,0,0.0,1.0
70,70,"Die Frau galt als Täter, die Polizei geht von einem Tötungsdelikt aus.",0,0.0,1.0
71,71,Die Frau galt als ein Mitglied des illegalen „Islamischen Staats“.,0,0.0,1.0
72,72,"Die Frau galt als dringend verdächtig, weil er an einem Feuer in einem Wohnhaus in der Maria-Ward-Straße in Kelheim beteiligt gewesen sein soll.",0,0.0,1.0
73,73,Die Frau galt als vermisst und wurde tot aufgefunden.,0,2.0,1.0
74,74,Die Frau galt als vermisst.,0,0.0,1.0
75,75,Die Frau galt als vermisst.,0,0.0,1.0
76,76,Die Frau galt als besonders gefährlich.,0,0.0,1.0
77,77,Die Frau galt als gefährlich und konnte nicht mehr in seine Wohnung zurückkehren.,0,0.0,1.0
78,78,"Die Frau galt als ""Opfer"" - und das wurde im Prozess klargestellt.",0,0.0,1.0
79,79,Die Frau galt als gefährlich.,0,0.0,1.0
80,80,Die Frau galt als sehr aggressiv und konnte offenbar auch andere Personen mit der Faust ins Gesicht schlagen.,0,0.0,1.0
81,81,"Die Frau galt als vermisst, die Leiche wurde jedoch nicht gefunden.",0,0.0,1.0
82,82,"Die Frau galt als gefährlich, als er am Freitag in einem Supermarkt in der Innenstadt mit einem Messer auf einen Mitarbeiter losging.",0,0.0,1.0
83,83,Die Frau galt als nicht mehr steuerpflichtig.,0,0.0,1.0
84,84,Die Frau galt als nicht haftungsbefreit.,0,0.0,1.0
85,85,Die Frau galt als gefährdet.,0,0.0,1.0
86,86,Die Frau galt als sehr zornig und wild.,0,0.0,1.0
87,87,Die Frau galt als sehr ängstlich und ängstlich.,0,0.0,1.0
88,88,Die Frau galt als eine der „Major-Leaders“ in der ETA.,1,2.0,1.0
89,89,"Die Frau galt als lebensgefährlich verletzt, als er von einem Auto erfasst wurde.",0,2.0,1.0
90,90,"Die Frau galt als verdächtig, weil er im Verdacht stand, sich mit einem minderjährigen Flüchtling eingelassen zu haben.",0,0.0,1.0
91,91,Die Frau galt als politisch verfolgt.,0,0.0,1.0
92,92,Die Frau galt als labil und hatte nach Ansicht der Richter keinen besonderen Vertrauensschutz.,0,0.0,1.0
93,93,Die Frau galt als die „größte Bedrohung der demokratischen Grundordnung“ und „der größte Terrorist“ der Welt.,0,0.0,1.0
94,94,Die Frau galt als verdächtig und wurde in Gewahrsam genommen.,0,0.0,1.0
95,95,"Die Frau galt als vermisst, er war in einer Wohnung in einem Mehrfamilienhaus in der Straße „Im Ried“ aufgefunden worden.",1,0.0,1.0
96,96,"Die Frau galt als sehr gefährlich, weil er einen Kugelschreiber in der Hand hielt.",0,0.0,1.0
97,97,"Die Frau galt als verdächtig, weil er unter Drogeneinfluss stand und einen Joint geraucht hatte.",0,0.0,1.0
98,98,"Die Frau galt als etwa 30 bis 40 Jahre alt und etwa 1,70 bis 1,75 Meter groß.",1,1.0,1.0
99,99,Die Frau galt als psychisch krank und befand sich in einer psychotherapeutischen Behandlung.,0,2.0,1.0
100,100,"Die Frau wurde beschrieben als ca. 170-180 cm groß, etwa 30 Jahre alt und schlank.",1,2.0,1.0
101,101,"Die Frau wurde beschrieben als etwa 40 bis 50 Jahre alt, ca. 175 bis 180 cm groß und schlank.",1,1.0,1.0
102,102,"Die Frau wurde beschrieben als etwa 1,65m groß, schlank, dunkelblonde Haare, bekleidet mit einer schwarzen Jogginghose, einer dunkelgrauen Jacke und einem dunklen, dunklen Kapuzenpullover",1,2.0,1.0
103,103,"Die Frau wurde beschrieben als 1,80m groß, schlank und trug eine dunkle Jogginghose.",1,1.0,1.0
104,104,"Die Frau wurde beschrieben als: männlich, ca. 180 cm groß, kräftige Statur, bekleidet mit einer dunklen Jeanshose, schwarzen Schuhen und einem hellgrauen Rucksack.",2,2.0,1.0
105,105,"Die Frau wurde beschrieben als 25 bis 30 Jahre alt, 175 bis 185 cm groß, schlank, trug eine schwarze Jacke mit einer dunklen Kapuze, schwarze Jeanshose und einen schwarzen Rucksack.",1,1.0,1.0
106,106,"Die Frau wurde beschrieben als: schlank, ca. 25 Jahre alt, ca. 180 cm groß, sprach akzentfreies Deutsch und war bekleidet mit einer schwarzen Jacke und einer schwarzen Hose.",2,2.0,1.0
107,107,"Die Frau wurde beschrieben als ca. 20 bis 25 Jahre alt, schlank, mit einer schwarzen Perücke.",1,1.0,1.0
108,108,"Die Frau wurde beschrieben als: männlich, ca. 30 Jahre alt, ca. 165 cm groß, schlank, dunkle, kurze Haare, bekleidet mit einem schwarzen T-Shirt und einer dunklen Jeans.",1,1.0,1.0
109,109,"Die Frau wurde beschrieben als 1,80m groß und etwa 25 Jahre alt.",1,1.0,1.0
110,110,"Die Frau wurde beschrieben als ca. 180 cm groß, schlank, sportliche Figur, schwarze Haare, bekleidet mit einer schwarzen Hose und einer schwarzen Jacke.",2,2.0,1.0
